,Мониторинг реализации мероприятий по снижению смертности от ишемической болезни сердца,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,,,,,,,,,,
1,* данные указываются за отчетный период т.г.с нарастающим итогом,,,,,,,,,,,,,,,
2,**данные указываются за отчетный период предыдущего года.с нарастающим итогом ,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,на 01.02.2023,на 01.03.2023,на 01.04.2023,на 01.05.2023,на 01.06.2023,на 01.07.2023,на 01.08.2023,на 01.09.2023,на 01.10.2023,на 01.11.2023,на 01.12.2023,на 01.01.2024
5,№ п/п,Целевые показатели оценки эффективности реализации мероприятий,Единицы измерения,Периодичность представления,"Фактическое значение за отчетный период*
январь
(за 1 мес.)","Фактическое значение за отчетный период*
январь-ФЕВРАЛЬ
(за 2 мес.)","Фактическое значение за отчетный период*
январь-МАРТ
(за 3 мес.)","Фактическое значение за отчетный период*
январь- АПРЕЛЬ
(за 4мес.)","Фактическое значение за отчетный период*
январь-МАЙ
(за 5 мес.)","Фактическое значение за отчетный период*
январь-ИЮНЬ
(за 6 мес.)","Фактическое значение за отчетный период*
январь-ИЮЛЬ
(за 7 мес.)","Фактическое значение за отчетный период*
январь-АВГУСТ
(за 8 мес.)","Фактическое значение за отчетный период*
январь-СЕНТЯБРЬ
(за 9 мес.)","Фактическое значение за отчетный период*
январь-ОКТЯБРЬ
(за 10 мес.)","Фактическое значение за отчетный период*
январь-НОЯБРЬ
(за 11 мес.)","Фактическое значение за отчетный период*
январь-ДЕКАБРЬ
(за 12 мес.)"
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,Показатели для раздела 1. Первичная профилактика ИБС,,,,,,,,,,,,,,,
8,1,"Количество проведенных мероприятий по информированию населения о факторах риска развития болезней системы кровообращения, в том числе инфаркта миокарда, и обеспечению условий для реализации здорового образа жизни",единиц,1 раз в квартал,Х,Х,0,Х,Х,0,Х,Х,0,Х,Х,
9,1.1,из них: публикации в СМИ,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
